message_id,parent_id,user_id,created_date,text,role,lang,review_count,review_result,deleted,rank,synthetic,model_name,detoxify,message_tree_id,tree_state,emojis,labels
e480f611-0d31-433a-93d2-0e2bc675aa30,,05a999f8-8219-4584-a3f2-d4b4aec30027,2023-02-06T23:09:05.356836+00:00,Напиши информацию о игре Hytale,prompter,ru,3,True,False,,False,,"{'toxicity': 0.0008757906034588814, 'severe_toxicity': 0.006206314079463482, 'obscene': 0.03902404010295868, 'identity_attack': 0.007062497548758984, 'insult': 0.0318511463701725, 'threat': 0.002482564887031913, 'sexual_explicit': 0.0011905607534572482}",e480f611-0d31-433a-93d2-0e2bc675aa30,ready_for_export,"{'name': ['+1', '_skip_ranking', '_skip_labeling'], 'count': [4, 1, 1]}","{'name': ['spam', 'lang_mismatch', 'pii', 'not_appropriate', 'hate_speech', 'sexual_content', 'quality', 'toxicity', 'humor', 'creativity', 'violence'], 'value': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4166666666666667, 0.0, 0.0, 0.08333333333333333, 0.0], 'count': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}"
fa8c92d6-6daa-42a3-a2f5-e2e0eb610c41,,19241e3c-8272-4c3f-afe8-527c005d042c,2023-02-07T14:36:48.863674+00:00,"Докончи поговорку, без труда не выловишь и",prompter,ru,3,True,False,,False,,"{'toxicity': 0.0432540699839592, 'severe_toxicity': 0.00032208472839556634, 'obscene': 0.0037938880268484354, 'identity_attack': 0.00028987054247409105, 'insult': 0.009484396316111088, 'threat': 0.01700948365032673, 'sexual_explicit': 0.0017491483595222235}",fa8c92d6-6daa-42a3-a2f5-e2e0eb610c41,ready_for_export,"{'name': ['+1', '-1'], 'count': [3, 1]}","{'name': ['spam', 'lang_mismatch', 'pii', 'not_appropriate', 'hate_speech', 'sexual_content', 'quality', 'toxicity', 'humor', 'creativity', 'violence'], 'value': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0625, 0.1875, 0.375, 0.0], 'count': [5, 3, 3, 3, 3, 3, 5, 4, 4, 4, 4]}"
ef69d986-aa2d-4c3e-a122-1910d9625c79,,6b1efbfa-7c16-47bf-b90c-340ab2b1b7eb,2023-02-08T14:59:45.846381+00:00,"У меня угнали машину, что мне делать?",prompter,ru,3,True,False,,False,,"{'toxicity': 0.004925671499222517, 'severe_toxicity': 0.00040296264342032373, 'obscene': 0.003004237310960889, 'identity_attack': 0.0005520012928172946, 'insult': 0.001443208777345717, 'threat': 0.0024281160440295935, 'sexual_explicit': 0.0002562557638157159}",ef69d986-aa2d-4c3e-a122-1910d9625c79,ready_for_export,"{'name': ['+1', '_skip_reply'], 'count': [4, 1]}","{'name': ['spam', 'lang_mismatch', 'pii', 'not_appropriate', 'hate_speech', 'sexual_content', 'quality', 'toxicity', 'humor', 'creativity', 'violence'], 'value': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5833333333333334, 0.25, 0.08333333333333333, 0.3333333333333333, 0.08333333333333333], 'count': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}"
e321f8f6-01f8-4975-afe6-73db989f538e,,3c8cde8c-9466-494f-9c36-cbf3c3ac7ecd,2023-02-08T14:19:18.286994+00:00,Какие произведения Булгакова связаны с Иерусалимом?,prompter,ru,3,True,False,,False,,"{'toxicity': 0.0015869040507823229, 'severe_toxicity': 0.00045917852548882365, 'obscene': 0.00375941745005548, 'identity_attack': 0.0029676344711333513, 'insult': 0.003093227744102478, 'threat': 0.0002957605174742639, 'sexual_explicit': 0.0001618791720829904}",e321f8f6-01f8-4975-afe6-73db989f538e,ready_for_export,"{'name': ['+1', '_skip_reply', '_skip_ranking'], 'count': [7, 10, 1]}","{'name': ['spam', 'lang_mismatch', 'pii', 'not_appropriate', 'hate_speech', 'sexual_content', 'quality', 'toxicity', 'humor', 'creativity', 'violence'], 'value': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.16666666666666666, 0.08333333333333333, 0.75, 0.0], 'count': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}"
5083658c-e251-4259-b180-77afaf907d66,,05a999f8-8219-4584-a3f2-d4b4aec30027,2023-02-07T15:32:50.130297+00:00,Плюсы и минусы языков программирования C++ и Rust. Что лучше?,prompter,ru,3,True,False,,False,,"{'toxicity': 0.0003262242244090885, 'severe_toxicity': 0.00164716353174299, 'obscene': 0.014770431444048882, 'identity_attack': 0.0022191309835761786, 'insult': 0.012556095607578754, 'threat': 0.0006524980417452753, 'sexual_explicit': 0.00040781640564091504}",5083658c-e251-4259-b180-77afaf907d66,ready_for_export,"{'name': ['+1', '_skip_reply'], 'count': [6, 3]}","{'name': ['spam', 'lang_mismatch', 'pii', 'not_appropriate', 'hate_speech', 'sexual_content', 'quality', 'toxicity', 'humor', 'creativity', 'violence'], 'value': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0], 'count': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}"
584415a9-f01a-4f06-b46f-cb502c89494e,,05d2473a-8853-45c8-9a92-9ec81969e79c,2023-02-08T15:21:03.755757+00:00,Что делать если издеваются в школе?,prompter,ru,3,True,False,,False,,"{'toxicity': 0.016405126079916954, 'severe_toxicity': 8.17512336652726e-05, 'obscene': 0.0008847276913002133, 'identity_attack': 0.0003307194565422833, 'insult': 0.0023216609843075275, 'threat': 0.003619506023824215, 'sexual_explicit': 0.0004797376459464431}",584415a9-f01a-4f06-b46f-cb502c89494e,ready_for_export,"{'name': ['+1', '_skip_reply', '_skip_ranking'], 'count': [1, 1, 1]}","{'name': ['spam', 'lang_mismatch', 'pii', 'not_appropriate', 'hate_speech', 'sexual_content', 'quality', 'toxicity', 'humor', 'creativity', 'violence'], 'value': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5833333333333334, 0.08333333333333333, 0.25, 0.5833333333333334, 0.08333333333333333], 'count': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}"
6f115ab2-1631-4ac1-9273-1246568694ee,,7b61bb1e-40da-4287-b3ea-1e1c8a39fbf6,2023-02-05T23:58:32.925439+00:00,Как люди охлаждают всякие вещества до очень низких температур?,prompter,ru,3,True,False,,False,,"{'toxicity': 0.001061408082023263, 'severe_toxicity': 6.53880852041766e-05, 'obscene': 0.0005793300806544721, 'identity_attack': 0.00013070410932414234, 'insult': 0.0004310478107072413, 'threat': 0.00015074711700435728, 'sexual_explicit': 7.60547409299761e-05}",6f115ab2-1631-4ac1-9273-1246568694ee,ready_for_export,"{'name': ['+1', '_skip_reply'], 'count': [8, 6]}","{'name': ['spam', 'lang_mismatch', 'pii', 'not_appropriate', 'hate_speech', 'sexual_content', 'quality', 'toxicity', 'humor', 'creativity', 'violence'], 'value': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.75, 0.0, 0.0, 0.16666666666666666, 0.0], 'count': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}"
6381e8d2-2753-45a2-8a6f-54b7ffd9eb40,,05d2473a-8853-45c8-9a92-9ec81969e79c,2023-02-08T15:19:45.739152+00:00,История компании Google,prompter,ru,3,True,False,,False,,"{'toxicity': 0.00035695821861736476, 'severe_toxicity': 0.0023607576731592417, 'obscene': 0.014421078376471996, 'identity_attack': 0.0027007844764739275, 'insult': 0.011478574946522713, 'threat': 0.00110217637848109, 'sexual_explicit': 0.0005054119974374771}",6381e8d2-2753-45a2-8a6f-54b7ffd9eb40,ready_for_export,"{'name': ['+1', '_skip_reply'], 'count': [2, 3]}","{'name': ['spam', 'lang_mismatch', 'pii', 'not_appropriate', 'hate_speech', 'sexual_content', 'quality', 'toxicity', 'humor', 'creativity', 'violence'], 'value': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4166666666666667, 0.5833333333333334, 0.16666666666666666, 0.5, 0.3333333333333333], 'count': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}"
458e15e5-f0af-4afa-a4d7-2c9e0daff3bf,,3d8873e9-cc1b-4e2b-bfca-5cafd206a957,2023-02-06T15:09:51.569114+00:00,Какие есть способы монетизации игры?,prompter,ru,3,True,False,,False,,"{'toxicity': 0.0004903198569081724, 'severe_toxicity': 0.00028802506858482957, 'obscene': 0.0030229894910007715, 'identity_attack': 0.000449737737653777, 'insult': 0.001960291527211666, 'threat': 0.00021686803665943444, 'sexual_explicit': 0.0001429153635399416}",458e15e5-f0af-4afa-a4d7-2c9e0daff3bf,ready_for_export,"{'name': ['+1', '_skip_reply', '_skip_ranking'], 'count': [8, 2, 1]}","{'name': ['spam', 'lang_mismatch', 'pii', 'not_appropriate', 'hate_speech', 'sexual_content', 'quality', 'toxicity', 'humor', 'creativity', 'violence'], 'value': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.08333333333333333, 0.0, 0.8333333333333334, 0.0], 'count': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}"
035e79fe-da00-48dc-9648-e8eef2158e96,,c67eabb9-8816-45f2-86ad-a8c471515d5f,2023-02-05T08:29:53.263075+00:00,Где самые вкусные сырники на Бали?,prompter,ru,3,True,False,,False,,"{'toxicity': 0.0016156574711203575, 'severe_toxicity': 4.2448002204764634e-05, 'obscene': 0.0007519674836657941, 'identity_attack': 0.0001281239528907463, 'insult': 0.0007846046355552971, 'threat': 6.944053893676028e-05, 'sexual_explicit': 7.20140669727698e-05}",035e79fe-da00-48dc-9648-e8eef2158e96,ready_for_export,"{'name': ['+1', '_skip_reply'], 'count': [4, 5]}","{'name': ['spam', 'lang_mismatch', 'pii', 'not_appropriate', 'hate_speech', 'sexual_content', 'quality', 'toxicity', 'humor', 'creativity', 'violence'], 'value': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5833333333333334, 0.16666666666666666, 0.4166666666666667, 0.75, 0.0], 'count': [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]}"
